Country Name,1990 [YR1990],2000 [YR2000],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Morocco,1219.430664,1348.049805,2907.449219,3117.515137,3430.549561,3139.243652,3132.94458,3288.502197,3492.67334,3498.573975,3258.121338,3795.380127
Mozambique,..,318.3426885,667.7174243,672.2042363,680.3750335,594.2265335,430.9931688,462.7001369,504.53589,508.1636746,449.9552098,491.8391128
Myanmar,50.7829482,150.4078289,1161.305962,1195.9378,1238.72871,1224.562343,1161.861778,1175.202557,1274.915657,1295.201448,1477.45287,1209.926942
Namibia,2037.927013,2156.098944,6017.157069,5463.017361,5544.097423,4965.68086,4614.881721,5453.570622,5687.399093,5126.176144,4251.172766,4865.557765
Nauru,..,..,9280.658894,9210.009692,9566.21254,7736.223636,8719.366526,9361.383343,10400.98907,9786.026526,9307.886768,10648.14139
Nepal,184.9237558,223.7118919,794.0927699,809.3846006,827.744346,882.3074488,880.2244881,1027.965486,1161.534374,1185.682675,1139.190277,1208.218534
Netherlands,21290.86038,26214.49855,50070.1416,52198.89756,52900.53742,45193.40322,46039.10593,48675.22234,53044.53244,52476.27325,52162.57012,57767.87881
New Caledonia,14800.79125,16039.17388,37294.02726,38503.26306,39675.58194,32428.58249,32286.91529,33874.92376,36312.72787,34797.51866,34800.75951,37159.54677
New Zealand,13663.02162,13641.10272,39973.38076,42976.64959,44572.89875,38630.72659,40058.19616,42924.9956,43250.44097,42865.23364,41596.5055,48781.02663
Nicaragua,238.7650098,996.897852,1746.425626,1794.786575,1913.521348,2025.324776,2079.448266,2127.280585,1981.85912,1890.273065,1863.109257,2045.535402
Niger,419.6038769,192.8777195,525.047324,548.1578755,560.7545092,481.1112995,497.0361334,514.5433128,567.3308067,550.9635555,564.8220018,590.6294548
Nigeria,567.5179022,565.3043172,2728.022683,2976.756736,3200.953146,2679.554765,2144.779938,1941.879485,2125.834282,2204.181574,2074.613928,2065.749068
North Macedonia,2299.044329,1861.898065,4728.308142,5241.058345,5495.735049,4861.553971,5149.589074,5450.492881,6108.740108,6070.388054,5965.450232,6694.641126
Northern Mariana Islands,..,..,14247.7893,14806.00679,16044.43073,17665.10075,24054.91561,30751.64107,25882.63359,23707.32881,..,..
Norway,28242.94374,38131.46061,101524.1419,102913.4508,97019.18275,74355.51586,70460.56053,75496.75406,82267.80932,75719.7529,67329.67779,89154.27609
Oman,6475.41707,8321.393867,24722.63882,23563.9406,23121.20638,18777.43306,17082.2062,17802.57512,19887.57431,19132.15227,16707.62301,19509.46646
Pakistan,346.6685155,531.3064961,1109.679115,1126.041261,1173.392454,1282.443153,1468.821421,1567.640986,1620.742857,1437.165907,1322.315036,1505.010193
Palau,..,7416.480787,11835.38393,12418.82617,13580.00674,15761.36338,16743.37674,16011.66115,15948.27586,15567.09087,14016.2475,12083.88815
Panama,2626.14328,4099.00654,10767.29318,11932.28622,12837.24796,13669.55944,14382.23238,15185.97248,15588.33733,15826.08235,12569.17154,14617.60448
Papua New Guinea,833.053995,639.2791999,2653.153909,2578.510135,2742.233338,2502.084291,2332.69748,2495.131383,2584.298769,2593.80465,2446.066306,2672.94579
